epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,924.756,0.6703,0.64901,0.94978,0.87082,0.88168,0.93171,0.82394,0.45122,0.45279,0.86787,0.000742625,0.000742625,0.000742625
43,945.696,0.66238,0.63879,0.94852,0.90246,0.88975,0.93803,0.82334,0.46516,0.42659,0.87299,0.00073025,0.00073025,0.00073025
44,966.872,0.6644,0.64881,0.94739,0.88681,0.88733,0.93707,0.83272,0.48271,0.43954,0.87443,0.000717875,0.000717875,0.000717875
45,988.572,0.65041,0.6351,0.94028,0.83289,0.92369,0.92527,0.8173,0.45362,0.4224,0.86318,0.0007055,0.0007055,0.0007055
46,1010.26,0.65759,0.62856,0.9414,0.83081,0.9067,0.92907,0.82005,0.49319,0.4539,0.88254,0.000693125,0.000693125,0.000693125
47,1034.46,0.65152,0.61939,0.93416,0.90599,0.86878,0.93972,0.83014,0.48006,0.43011,0.87801,0.00068075,0.00068075,0.00068075
48,1062.53,0.65914,0.6238,0.94511,0.86704,0.89554,0.93209,0.82683,0.46573,0.46276,0.88784,0.000668375,0.000668375,0.000668375
49,1083.53,0.64037,0.60788,0.93569,0.88242,0.90698,0.94043,0.8333,0.48274,0.42615,0.89016,0.000656,0.000656,0.000656
50,1103.68,0.6382,0.6087,0.9421,0.88499,0.88735,0.93582,0.8347,0.47228,0.43462,0.88522,0.000643625,0.000643625,0.000643625
51,1123.86,0.64011,0.61618,0.93826,0.84433,0.90946,0.93505,0.83622,0.44965,0.41602,0.8659,0.00063125,0.00063125,0.00063125
52,1144.22,0.64059,0.60772,0.93496,0.91852,0.8366,0.92998,0.8289,0.47324,0.4198,0.87935,0.000618875,0.000618875,0.000618875
53,1164.6,0.61931,0.59686,0.92278,0.91125,0.85393,0.9326,0.83028,0.46701,0.45583,0.86948,0.0006065,0.0006065,0.0006065
54,1186.32,0.62336,0.59797,0.9345,0.8887,0.88499,0.93245,0.83024,0.46063,0.43376,0.86962,0.000594125,0.000594125,0.000594125
55,1208.53,0.64411,0.61289,0.9391,0.90911,0.85026,0.93078,0.8327,0.42213,0.43453,0.86245,0.00058175,0.00058175,0.00058175
56,1231.97,0.62324,0.59106,0.93241,0.89829,0.88077,0.9302,0.82551,0.42982,0.41321,0.85077,0.000569375,0.000569375,0.000569375
57,1254.7,0.61467,0.57973,0.92004,0.8736,0.92095,0.9343,0.83506,0.44326,0.41683,0.86513,0.000557,0.000557,0.000557
58,1274.94,0.60626,0.58979,0.92506,0.90625,0.86703,0.93446,0.83867,0.44423,0.41835,0.87183,0.000544625,0.000544625,0.000544625
59,1295.32,0.61592,0.58781,0.92724,0.89984,0.90246,0.93676,0.82499,0.44196,0.40553,0.86341,0.00053225,0.00053225,0.00053225
60,1315.61,0.61275,0.58756,0.92896,0.89222,0.90183,0.93855,0.83695,0.43825,0.41273,0.85994,0.000519875,0.000519875,0.000519875
61,1336.03,0.59688,0.57597,0.91688,0.91391,0.88117,0.92995,0.83571,0.44073,0.40672,0.87448,0.0005075,0.0005075,0.0005075
62,1356.89,0.60988,0.58084,0.92117,0.89436,0.88192,0.93637,0.83569,0.44604,0.4199,0.86904,0.000495125,0.000495125,0.000495125
63,1377.22,0.59463,0.56645,0.91989,0.89037,0.88362,0.93358,0.84321,0.43328,0.39839,0.86038,0.00048275,0.00048275,0.00048275
64,1398.18,0.6048,0.56946,0.92917,0.88901,0.90151,0.93329,0.83457,0.43695,0.3907,0.86254,0.000470375,0.000470375,0.000470375
65,1419.1,0.605,0.56981,0.92834,0.89898,0.89205,0.93875,0.83754,0.43677,0.40377,0.86623,0.000458,0.000458,0.000458
66,1440.05,0.59734,0.56164,0.91538,0.87768,0.88745,0.92572,0.83303,0.4416,0.41353,0.86382,0.000445625,0.000445625,0.000445625
67,1460.79,0.58623,0.55441,0.91874,0.90376,0.88933,0.92895,0.84391,0.4287,0.41251,0.86725,0.00043325,0.00043325,0.00043325
68,1481.53,0.58998,0.5492,0.9165,0.89854,0.89237,0.93365,0.84395,0.4234,0.39299,0.85501,0.000420875,0.000420875,0.000420875
69,1503.26,0.59599,0.55504,0.92114,0.88044,0.88524,0.93469,0.83711,0.43048,0.39678,0.86907,0.0004085,0.0004085,0.0004085
70,1525.64,0.57898,0.54607,0.91571,0.8831,0.89382,0.92799,0.83186,0.43227,0.41994,0.86746,0.000396125,0.000396125,0.000396125
71,1547.22,0.57182,0.5481,0.91039,0.88007,0.90214,0.9214,0.83358,0.4085,0.4156,0.85594,0.00038375,0.00038375,0.00038375
72,1568.86,0.59221,0.55606,0.91463,0.87464,0.90718,0.92451,0.83426,0.4295,0.39898,0.86421,0.000371375,0.000371375,0.000371375
73,1590.68,0.58231,0.54158,0.91423,0.89173,0.88958,0.92699,0.83063,0.43184,0.40104,0.86885,0.000359,0.000359,0.000359
74,1612.18,0.57721,0.54025,0.91286,0.88808,0.89755,0.93015,0.83299,0.42804,0.3884,0.86523,0.000346625,0.000346625,0.000346625
75,1633.67,0.56801,0.54059,0.91368,0.88187,0.90791,0.93226,0.83754,0.42476,0.38692,0.86492,0.00033425,0.00033425,0.00033425
76,1656.21,0.57079,0.53739,0.90864,0.89523,0.89102,0.93225,0.84155,0.42193,0.39591,0.86223,0.000321875,0.000321875,0.000321875
77,1677.91,0.56213,0.53094,0.90629,0.88466,0.90247,0.93132,0.83254,0.42669,0.40081,0.86313,0.0003095,0.0003095,0.0003095
78,1700.27,0.56851,0.53913,0.91142,0.8984,0.87911,0.92792,0.83221,0.42034,0.39105,0.86183,0.000297125,0.000297125,0.000297125
79,1722.46,0.58783,0.55262,0.91897,0.86986,0.90339,0.93139,0.83503,0.42417,0.38661,0.86396,0.00028475,0.00028475,0.00028475
80,1743.98,0.56879,0.52594,0.91148,0.88461,0.87945,0.93288,0.83313,0.43031,0.40386,0.86798,0.000272375,0.000272375,0.000272375
81,1766.26,0.55171,0.51734,0.90223,0.9026,0.90221,0.93615,0.84539,0.42596,0.37687,0.86636,0.00026,0.00026,0.00026
82,1788.44,0.56269,0.53324,0.9092,0.8775,0.90404,0.93222,0.8449,0.42595,0.38309,0.8659,0.000247625,0.000247625,0.000247625
83,1810.64,0.54383,0.51631,0.90158,0.8612,0.91795,0.93559,0.84422,0.41623,0.38014,0.86209,0.00023525,0.00023525,0.00023525
84,1832.79,0.53481,0.50961,0.89667,0.90177,0.89414,0.93332,0.84321,0.42139,0.38065,0.86412,0.000222875,0.000222875,0.000222875
85,1855.02,0.53964,0.51068,0.90012,0.86586,0.91706,0.932,0.84123,0.41824,0.37961,0.86087,0.0002105,0.0002105,0.0002105
86,1876.39,0.54693,0.51449,0.90303,0.90208,0.88725,0.93483,0.84433,0.42693,0.37854,0.87008,0.000198125,0.000198125,0.000198125
87,1897.57,0.54548,0.50523,0.89911,0.87558,0.91008,0.93132,0.83943,0.42089,0.38601,0.8617,0.00018575,0.00018575,0.00018575
88,1918.75,0.53342,0.50118,0.90214,0.87807,0.90985,0.93576,0.84385,0.42069,0.37951,0.86885,0.000173375,0.000173375,0.000173375
89,1939.43,0.52709,0.504,0.90374,0.88788,0.91823,0.93962,0.84407,0.40643,0.37022,0.85622,0.000161,0.000161,0.000161
90,1960,0.53678,0.50797,0.90253,0.88365,0.9046,0.93264,0.84657,0.40203,0.38604,0.85229,0.000148625,0.000148625,0.000148625
91,1979.09,0.45761,0.4205,0.85837,0.89703,0.89164,0.92682,0.8349,0.42514,0.39674,0.86252,0.00013625,0.00013625,0.00013625
92,1998.34,0.45347,0.41001,0.8516,0.89186,0.90908,0.93556,0.84478,0.41373,0.37582,0.86405,0.000123875,0.000123875,0.000123875
93,2017.45,0.43589,0.40406,0.84151,0.89463,0.89848,0.9337,0.848,0.3983,0.37671,0.85026,0.0001115,0.0001115,0.0001115
94,2036.27,0.43308,0.39424,0.84686,0.89048,0.90982,0.93361,0.84659,0.40242,0.37197,0.85743,9.9125e-05,9.9125e-05,9.9125e-05
95,2055.28,0.43284,0.39713,0.84514,0.89258,0.89889,0.93393,0.84417,0.40822,0.38004,0.86298,8.675e-05,8.675e-05,8.675e-05
96,2074.41,0.43325,0.39768,0.84381,0.89608,0.89539,0.93453,0.84855,0.40509,0.37328,0.85838,7.4375e-05,7.4375e-05,7.4375e-05
97,2093.35,0.42674,0.39053,0.84621,0.91221,0.87663,0.92991,0.84605,0.39927,0.37108,0.85767,6.2e-05,6.2e-05,6.2e-05
98,2113.23,0.42287,0.38575,0.84577,0.88912,0.90737,0.93599,0.84735,0.40445,0.36154,0.85752,4.9625e-05,4.9625e-05,4.9625e-05
99,2133.41,0.41999,0.38172,0.84274,0.88681,0.9142,0.93417,0.84744,0.40091,0.36884,0.85844,3.725e-05,3.725e-05,3.725e-05
100,2153.96,0.41752,0.38069,0.84382,0.88419,0.9142,0.93358,0.8478,0.40627,0.36999,0.86083,2.4875e-05,2.4875e-05,2.4875e-05
